Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
521.82,25.06,17.65
522.05,25.08,14.03
522.27,25.1,6.38
522.49,25.12,16.5
522.72,25.14,12.59
522.94,25.16,19.48
523.16,25.18,30.82
523.39,25.2,9.07
523.61,25.22,16.43
523.83,25.24,14.17
524.06,25.26,18.03
524.28,25.28,17.74
524.5,25.3,14.78
524.72,25.32,16.65
524.95,25.34,14.29
525.17,25.36,12.59
525.39,25.38,20.94
525.62,25.4,9.88
525.84,25.42,27.33
526.06,25.44,25.09
526.29,25.46,31.09
526.51,25.48,28.54
526.73,25.5,26.22
526.95,25.52,43.14
527.18,25.54,44.99
527.4,25.56,34.06
527.62,25.58,31.37
527.85,25.6,20.28
528.07,25.62,19.21
528.29,25.64,20.49
528.52,25.66,23.52
528.74,25.68,19.5
528.96,25.7,12.46
529.19,25.72,24.87
529.41,25.74,24.51
529.63,25.76,21.16
529.85,25.78,27.1
530.08,25.8,14.78
530.3,25.82,26.45
530.52,25.84,27.85
530.75,25.86,40.75
530.97,25.88,27.64
531.19,25.9,20.99
531.42,25.92,30
531.64,25.94,28.14
531.86,25.96,27.18
532.08,25.98,27.78
532.31,26,18.68
532.53,26.02,35.07
532.75,26.04,40.02
532.98,26.06,34.39
533.2,26.08,30.35
533.42,26.1,31.13
533.65,26.12,43.22
533.87,26.14,68.49
534.09,26.16,70.69
534.32,26.18,96.79
534.32,26.18,113.71
534.54,26.2,107.76
534.54,26.2,59.73
534.76,26.22,96.78
534.87,26.23,132.92
534.98,26.24,86.53
535.1,26.25,108.47
535.21,26.26,115.31
535.32,26.27,180.02
535.43,26.28,115.94
535.54,26.29,150.61
535.65,26.3,71.1
535.77,26.31,120.25
535.88,26.32,133.35
535.99,26.33,88.05
536.1,26.34,118.67
536.21,26.35,117.66
536.32,26.36,78.33
536.43,26.37,80.18
536.55,26.38,157.17
536.66,26.39,76.76
536.77,26.4,154.6
536.99,26.42,156.26
536.99,26.42,62.71
537.21,26.44,87.69
537.44,26.46,46.92
537.67,26.48,64.46
537.95,26.5,51.15
538.23,26.52,78.77
538.5,26.54,51.42
538.8,26.56,33
539.09,26.58,25.93
539.6,26.61,41.72
539.93,26.63,50.86
540.27,26.65,36.49
540.6,26.67,25.95
540.93,26.69,30.82
541.27,26.71,34.37
